File: VE_himeno.csv, Workload Type: 1
File: VE_hpl.csv, Workload Type: 2
File: VE_b_eff.csv, Workload Type: 3
File: VE_intel.csv, Workload Type: 4
File: VE_ior.csv, Workload Type: 5
File: VE_mini.csv, Workload Type: 6
File: VE_stream.csv, Workload Type: 7
File: VH_b_eff.csv, Workload Type: 8
File: VH_himeno.csv, Workload Type: 9
File: VH_hpl.csv, Workload Type: 10
File: VH_intel.csv, Workload Type: 11
File: VH_ior.csv, Workload Type: 12
File: VH_mini.csv, Workload Type: 13
File: VH_stream.csv, Workload Type: 14
